corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
mandarin	hml	0001	#	#	#nc	#nc				
mandarin	hml	0001	ok	ok	nc	nc				
mandarin	hml	0001	hǎo	good	nc	nc				
mandarin	hml	0001	le	ASP	nc	nc				
mandarin	hml	0001	ké	oh	nc	nc				
mandarin	hml	0002	#	#	#nc	#nc				
mandarin	hml	0002	è	oh	nc	nc				
mandarin	hml	0002	long	long	nc	nc				
mandarin	hml	0002	long	long	nc	nc				
mandarin	hml	0002	ago	ago	nc	nc				
mandarin	hml	0003	#	#	##	##				
mandarin	hml	0003	g	yes	other	other				
mandarin	hml	0003	hē	ha	other	other				
mandarin	hml	0003	ZERO	0_you	0.2:s	0	2	s		
mandarin	hml	0003	bié	stop	lv	lv				
mandarin	hml	0003	bié	stop	lv	lv				
mandarin	hml	0003	chědàn	joke	v:pred	v		pred		
mandarin	hml	0003	#	#	##	##				
mandarin	hml	0003	ZERO	0_you	0.2:s	0	2	s		
mandarin	hml	0003	lái	come	v:pred	v		pred		
mandarin	hml	0003	#	#	##	##				
mandarin	hml	0003	wǒ	1SG	pro.1:s	pro	1	s		
mandarin	hml	0003	gěi	give/ADP	adp	adp				
mandarin	hml	0003	nǐ	2SG	pro.2:obl	pro	2	obl		
mandarin	hml	0003	nòng	make	v:pred	v		pred		
mandarin	hml	0004	#	#	##	##				
mandarin	hml	0004	ZERO	0_I	0.1:a	0	1	a		
mandarin	hml	0004	gěi	give/ADP	adp	adp				
mandarin	hml	0004	gěi	give/ADP	nc	nc				
mandarin	hml	0004	nǐ	2SG	pro.2:g	pro	2	g		
mandarin	hml	0004	shuō	say	v:pred	v		pred		
mandarin	hml	0004	yī	one	ln	ln				
mandarin	hml	0004	gè	CL	ln	ln				
mandarin	hml	0004	nà	that	ln	ln				
mandarin	hml	0004	gè	CL	ln	ln				
mandarin	hml	0004	shenme	what	pro:p	pro		p		
mandarin	hml	0004	gǔdài	ancient_time	nc	nc				
mandarin	hml	0004	díyīgè	first	nc	nc				
mandarin	hml	0004	zé	oh	nc	nc				
mandarin	hml	0004	biǎoxiàn	display	nc	nc				
mandarin	hml	0004	yī	one	nc	nc				
mandarin	hml	0004	gè	CL	nc	nc				
mandarin	hml	0005	#	#	##	##				
mandarin	hml	0005	yīnwéi	because	other	other				
mandarin	hml	0005	xiànzài	now	other	other				
mandarin	hml	0005	wǒmén	1PL	pro.1:s	pro	1	s		
mandarin	hml	0005	dou	all	other	other				
mandarin	hml	0005	zhīdào	know	v:pred	v		pred		
mandarin	hml	0005	#	#	##	##				
mandarin	hml	0005	hā	ha	other	other				
mandarin	hml	0005	nà	that	ln	ln				
mandarin	hml	0005	gè	CL	ln	ln				
mandarin	hml	0005	shìjiè	world	np:l	np		l		
mandarin	hml	0005	shàng	on	adp	adp				
mandarin	hml	0005	ZERO	0_we	0.1:a	0	1	a		
mandarin	hml	0005	qiángdiào	emphasise	v:pred	v		pred		
mandarin	hml	0005	zhè	this	ln	ln				
mandarin	hml	0005	nán	man	ln	ln				
mandarin	hml	0005	nǚ	woman	ln	ln				
mandarin	hml	0005	píngděng	equality	np:p	np		p		
mandarin	hml	0006	#	#	##	##				
mandarin	hml	0006	g	yes	other	other				
mandarin	hml	0006	dànshì	but	other	other				
mandarin	hml	0006	zài	in	adp	adp				
mandarin	hml	0006	zài	in	adp	adp				
mandarin	hml	0006	gǔdài	ancient_time	np:other	np		other		
mandarin	hml	0006	deshíhòu	when	adp	adp				
mandarin	hml	0006	yóu	NC	nc	nc				
mandarin	hml	0006	yóuqí	especially	other	other				
mandarin	hml	0006	shì	COP	other	other				
mandarin	hml	0006	zhōngguó	China	ln	ln				
mandarin	hml	0006	fēngjiàn	feudal	ln	ln				
mandarin	hml	0006	shèhuì	society	np:other	np		other		
mandarin	hml	0006	deshíhòu	when	other	other				
mandarin	hml	0007	qíshí	actually	other	other				
mandarin	hml	0007	nǚxìng	woman	np.h:a	np	h	a		
mandarin	hml	0007	shì	COP	other	other				
mandarin	hml	0007	hěn	very	other	other				
mandarin	hml	0007	shòu	suffer	v:pred	v		pred		
mandarin	hml	0007	nà	that	ln	ln				
mandarin	hml	0007	gè	CL	ln	ln				
mandarin	hml	0007	qíshì	discrimination	np:p	np		p		
mandarin	hml	0007	=de	=MOD	=other	=other				
mandarin	hml	0008	#	#	##	##				
mandarin	hml	0008	dànshì	but	other	other				
mandarin	hml	0008	ā	oh	other	other				
