corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
mandarin	jgz	0001	#	#	##	##				
mandarin	jgz	0001	běnlái	originally	other	other				
mandarin	jgz	0001	zhè	DEM	ln_dem	ln_dem				
mandarin	jgz	0001	gè	CL	ln_cl	ln_cl				
mandarin	jgz	0001	gúshì	story	np:dt_p	np		dt_p		
mandarin	jgz	0001	bā	MP	other	other				
mandarin	jgz	0001	ZERO	0	0.1:a	0	1	a		
mandarin	jgz	0001	kenéng	maybe	nc	nc				
mandarin	jgz	0001	shì	COP	nc	nc				
mandarin	jgz	0001	gēn	ADP	nc	nc				
mandarin	jgz	0001	yīnggāi	should	other	other				
mandarin	jgz	0001	shì	COP	other	other				
mandarin	jgz	0001	gēn	ADP	adp	adp				
mandarin	jgz	0001	ná	DEM	ln_dem	ln_dem				
mandarin	jgz	0001	gè	CL	ln_cl	ln_cl				
mandarin	jgz	0001	wǒ	1SG	ln_pro.1:poss	ln_pro	1	poss		
mandarin	jgz	0001	=de	=MOD	=ln	=ln				
mandarin	jgz	0001	péngyǒu	friend	np.h:obl	np	h	obl		
mandarin	jgz	0001	lǐshàngzōng	lǐshàngzōng	rn_pn_np.h	rn_pn_np	h			
mandarin	jgz	0001	yīqǐ	together	other	other				
mandarin	jgz	0001	jiǎng	tell	v:pred	v		pred		
mandarin	jgz	0001	ZERO	0_it	dt_0:p	dt_0		p		
mandarin	jgz	0002	#	#	##	##				
mandarin	jgz	0002	bíjìng	at_least	other	other				
mandarin	jgz	0002	yǒu	have	ln_deti	ln_deti				
mandarin	jgz	0002	tā	3SG	pro.h:s	pro	h	s		
mandarin	jgz	0002	zài	be_at	v:pred	v		pred		
mandarin	jgz	0003	#	#	##	##				
mandarin	jgz	0003	wǒ	1SG	pro.1:a	pro	1	a		
mandarin	jgz	0003	kéyǐ	can	lv_aux	lv_aux				
mandarin	jgz	0003	jǐduì	refer	v:pred	v		pred		
mandarin	jgz	0003	jǐduì	refer	rv	rv				
mandarin	jgz	0003	tā	3SG	pro.h:p	pro	h	p		
mandarin	jgz	0004	#	#	##	##				
mandarin	jgz	0004	jiù	ADV	other	other				
mandarin	jgz	0004	tā	3SG	pro.h:s	pro	h	s		
mandarin	jgz	0004	bú	NEG	other	other				
mandarin	jgz	0004	zài	be_at	v:pred	v		pred		
mandarin	jgz	0005	#	#	##	##				
mandarin	jgz	0005	wǒ	1SG	pro.1:a	pro	1	a		
mandarin	jgz	0005	yě	also	other	other				
mandarin	jgz	0005	bù	NEG	lv	lv				
mandarin	jgz	0005	néng	can	lv_aux	lv_aux				
mandarin	jgz	0005	jǐduì	refer	v:pred	v		pred		
mandarin	jgz	0005	wǒ	1SG	pro.1:p	pro	1	p		
mandarin	jgz	0005	zígèér	myself	rn	rn				
mandarin	jgz	0006	#	#	##	##				
mandarin	jgz	0006	ZERO	0	0.h:s_ds	0	h	s_ds		
mandarin	jgz	0006	shuō	say	v:pred	v		pred		
mandarin	jgz	0006	wǒ	1SG	ln_pro.1:poss	ln_pro	1	poss		
mandarin	jgz	0006	zhège	DEM	pro:p	pro		p		
mandarin	jgz	0006	wǒ	1SG	ln_pro.1:poss	ln_pro	1	poss		
mandarin	jgz	0006	nàge	DEM	pro:other	pro		other		
mandarin	jgz	0006	=de	=MOD	=rn	=rn				
mandarin	jgz	0007	#	#	##	##				
mandarin	jgz	0007	dánshì	but	other	other				
mandarin	jgz	0007	suīrán	although	other	other				
mandarin	jgz	0007	zhè	DEM	ln_dem	ln_dem				
mandarin	jgz	0007	ge	CL	ln_cl	ln_cl				
mandarin	jgz	0007	gúshì	story	np:l	np		l		
mandarin	jgz	0007	lǐ	inside	rn_adp	rn_adp				
mandarin	jgz	0007	méiyǒu	NEG	other:predex	other		predex		
mandarin	jgz	0007	tā	3SG	pro.h:s	pro	h	s		
mandarin	jgz	0008	#	#	##	##				
mandarin	jgz	0008	danshì	but	other	other				
mandarin	jgz	0008	jīntiān	today	np:other	np		other		
mandarin	jgz	0008	zánmén	1PL.INCL	pro.1:a	pro	1	a		
mandarin	jgz	0008	jiǎng	tell	v:pred	v		pred		
mandarin	jgz	0008	ZERO	0	0:p	0		p		
mandarin	jgz	0008	=de	=MOD	=other	=other				
mandarin	jgz	0008	shíhòu	moment	other	other				
mandarin	jgz	0009	#	#	##	##				
mandarin	jgz	0009	ZERO	0	0.1:a	0	1	a		
mandarin	jgz	0009	hái	still	other	other				
mandarin	jgz	0009	kéyǐ	can	other	other				
mandarin	jgz	0009	dàizhe	bring	v:pred	v		pred		
mandarin	jgz	0009	tā	3SG	pro.h:p	pro	h	p		
mandarin	jgz	0010	#	#	##	##				
mandarin	jgz	0010	#	#	#cc:s	#cc		s		
mandarin	jgz	0010	ZERO	0	0.1:a	0	1	a		
mandarin	jgz	0010	jǐduì	refer	v:pred	v		pred		
mandarin	jgz	0010	tā	3SG	pro.h:p	pro	h	p		
mandarin	jgz	0010	%	%	%	%				
mandarin	jgz	0010	háishì	also	other	other				
mandarin	jgz	0010	chàbùliǎo	nothing_better_than	other:pred	other		pred		
mandarin	jgz	0010	=de	=MOD	=other	=other				
mandarin	jgz	0011	#	#	##	##				
mandarin	jgz	0011	#	#	#rc	#rc				
mandarin	jgz	0011	wǒ	1SG	pro.1:a	pro	1	a		
mandarin	jgz	0011	jiǎng	tell	v:pred	v		pred		
mandarin	jgz	0011	=de	=MOD	=other	=other				
mandarin	jgz	0011	ZERO	0_it	f0:p	f0		p		
mandarin	jgz	0011	%	%	%	%				
mandarin	jgz	0011	zhé	DEM	rn	rn				
mandarin	jgz	0011	gè	CL	rn	rn				
mandarin	jgz	0011	gúshì	story	np:s	np		s		
mandarin	jgz	0011	shì	COP	cop	cop				
mandarin	jgz	0011	zhōngguó	China	ln_pn_np:poss	ln_pn_np		poss		
mandarin	jgz	0011	lìshǐ	history	ln_np	ln_np				
mandarin	jgz	0011	shàng	on	adp	adp				
mandarin	jgz	0011	liúchuán	popular	ln_adj	ln_adj				
mandarin	jgz	0011	=de	=MOD	=ln	=ln				
mandarin	jgz	0011	bǐjiào	comparatively	ln_adj	ln_adj				
mandarin	jgz	0011	guǎng	wide	ln_adj	ln_adj				
mandarin	jgz	0011	=de	=MOD	=ln	=ln				
mandarin	jgz	0011	yī	one	ln_deti	ln_deti				
mandarin	jgz	0011	gè	CL	ln_cl	ln_cl				
mandarin	jgz	0011	gúshì	story	np:pred	np		pred		
mandarin	jgz	0012	#	#	##	##				
mandarin	jgz	0012	ZERO	0	0:a	0		a		
mandarin	jgz	0012	jiào	called	v:pred	v		pred		
mandarin	jgz	0012	jìgōngzhuàn	jìgōngzhuàn	np:p	np		p		
mandarin	jgz	0013	#	#	#nc	#nc				
mandarin	jgz	0013	jìgōngzhuàn	jìgōngzhuàn	nc	nc				
mandarin	jgz	0013	=de	=MOD	nc	nc				
mandarin	jgz	0013	láilì	origin	nc	nc				
mandarin	jgz	0013	dàzhì	approximately	nc	nc				
mandarin	jgz	0013	cóng	from	nc	nc				
mandarin	jgz	0013	qīngchāo	Qing_dynasty	nc	nc				
mandarin	jgz	0013	jiù	ADV	nc	nc				
mandarin	jgz	0013	yǐjīng	already	nc	nc				
mandarin	jgz	0013	chénggǎo	pass	nc	nc				
mandarin	jgz	0013	le	ASP	nc	nc				
mandarin	jgz	0014	#	#	##	##				
mandarin	jgz	0014	ZERO	0	0.h:s_ds	0	h	s_ds		
mandarin	jgz	0014	kéyǐ	can	other	other				
mandarin	jgz	0014	shuō	say	v:pred	v		pred		
mandarin	jgz	0015	#	#	##ds	##ds				
mandarin	jgz	0015	ZERO	0	0:s	0		s		
mandarin	jgz	0015	shì	COP	cop	cop				
mandarin	jgz	0015	hóngpiānjùzhù	monumental_literary_piece	np:pred	np		pred		
mandarin	jgz	0016	hěn	very	ln	ln				
mandarin	jgz	0016	duō	more	ln	ln				
mandarin	jgz	0016	=de	=MOD	=ln	=ln				
mandarin	jgz	0016	gúshì	story	np:appos	np		appos		
mandarin	jgz	0017	#	#	##	##				
mandarin	jgz	0017	#	#	#ac	#ac				
mandarin	jgz	0017	yáoshì	if	other	other				
mandarin	jgz	0017	shuō	say	other	other				
mandarin	jgz	0017	ZERO	0_I	0.1:a	0	1	a		
mandarin	jgz	0017	jiǎng	tell	v:pred	v		pred		
mandarin	jgz	0017	ZERO	0_story	0:p	0		p		
mandarin	jgz	0017	dehuà	if	other	other				
mandarin	jgz	0018	%	%	%	%				
mandarin	jgz	0018	ZERO	0_I	0.1:a	0	1	a		
mandarin	jgz	0018	jiǎng	tell	v:pred	v		pred		
mandarin	jgz	0018	ZERO	0_it	0:p	0		p		
mandarin	jgz	0018	gè	CL	ln	ln				
mandarin	jgz	0018	shí	ten	ln	ln				
mandarin	jgz	0018	tiān	day	np:other	np		other		
