corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
mandarin	lzh	0001	#	#	##	##				
mandarin	lzh	0001	hǎo	good	other	other				
mandarin	lzh	0001	ZERO	0_I	0.1:s	0	1	s		
mandarin	lzh	0001	kāishǐ	begin	v:pred	v		pred		
mandarin	lzh	0001	le	ASP	rv_asp	rv_asp				
mandarin	lzh	0001	#	#	##	##				
mandarin	lzh	0001	nǐ	2SG	pro.2:s	pro	2	s		
mandarin	lzh	0001	yǐjīng	already	other	other				
mandarin	lzh	0001	gěi	ADP	adp	adp				
mandarin	lzh	0001	wǒ	1SG	pro.1:obl	pro	1	obl		
mandarin	lzh	0001	àn	push	v:pred	v		pred		
mandarin	lzh	0001	kāishǐ	begin	rv	rv				
mandarin	lzh	0001	le	ASP	rv_asp	rv_asp				
mandarin	lzh	0001	#	#	##	##				
mandarin	lzh	0001	ZERO	0_I	0.1:s	0	1	s		
mandarin	lzh	0001	kāishǐ	begin	v:pred	v		pred		
mandarin	lzh	0001	le	ASP	rv_asp	rv_asp				
mandarin	lzh	0001	èn	yes	other	other				
mandarin	lzh	0001	ò	MP	other	other				
mandarin	lzh	0001	(dua)	NC	nc	nc				
mandarin	lzh	0001	wǒqù	fuck	other	other				
mandarin	lzh	0001	āyā	MP	other	other				
mandarin	lzh	0002	#	#	##	##				
mandarin	lzh	0002	a	MP	other	other				
mandarin	lzh	0002	nà	then	other	other				
mandarin	lzh	0002	wǒ	1SG	pro.1:a	pro	1	a		
mandarin	lzh	0002	jīntiān	today	np:other	np		other		
mandarin	lzh	0002	jiù	ADV	other	other				
mandarin	lzh	0002	gěi	ADP	adp	adp				
mandarin	lzh	0002	nǐmen	2PL	pro.2:obl	pro	2	obl		
mandarin	lzh	0002	jiǎng	talk	v:pred	v		pred		
mandarin	lzh	0002	yí	one	ln_deti	ln_deti				
mandarin	lzh	0002	gè	CL	ln_cl	ln_cl				
mandarin	lzh	0002	liángshānbó	Liangshanbo	ln_pn_np.h:poss	ln_pn_np	h	poss	3013	new
mandarin	lzh	0002	yǔ	and	ln	ln				
mandarin	lzh	0002	zhùyīngtái	Zhuyingtai	ln_pn_np.h:poss	ln_pn_np	h	poss	3005	new
mandarin	lzh	0002	=de	=MOD	=ln	=ln				
mandarin	lzh	0002	gùshi	story	np:p	np		p		
mandarin	lzh	0003	#	#	#	#				
mandarin	lzh	0003	(nà)	NC	nc	nc				
mandarin	lzh	0003	liángzhù	Liangzhu	np:dt_a	np		dt_a	3015	bridging
mandarin	lzh	0003	dehuà	if	other	other				
mandarin	lzh	0003	ZERO	0_it	dt_0.h:a	dt_0	h	a	3015	
mandarin	lzh	0003	qíshí	actually	other	other				
mandarin	lzh	0003	jiù	ADV	other	other				
mandarin	lzh	0003	shǔyú	belong_to	v:pred	v		pred		
mandarin	lzh	0003	zánmen	1PL.INCL	ln_pro.1:poss	ln_pro	1	poss		
mandarin	lzh	0003	zhōngguó	China	ln_np	ln_np				
mandarin	lzh	0003	=de	=MOD	=ln	=ln				
mandarin	lzh	0003	luómìōu	Romeo	np:p	np		p		
mandarin	lzh	0003	yǔ	and	ln	ln				
mandarin	lzh	0003	zhūlìyè	Juliet	np:appos	np		appos		
mandarin	lzh	0004	#	#	##	##				
mandarin	lzh	0004	ránhòu	then	other	other				
mandarin	lzh	0004	zhè	DEM	ln_dem	ln_dem				
mandarin	lzh	0004	ge	CL	ln_cl	ln_cl				
mandarin	lzh	0004	gùshi	story	np:dt	np		dt		
mandarin	lzh	0004	ne	MP	other	other				
mandarin	lzh	0004	qíshí	actually	other	other				
mandarin	lzh	0004	yī	one	other	other				
mandarin	lzh	0004	kāishǐ	begin	other	other				
mandarin	lzh	0004	(jiù)	NC	nc	nc				
mandarin	lzh	0004	gǎnjué	feel(ing)	nc	nc				
mandarin	lzh	0004	qíshí	actually	nc	nc				
mandarin	lzh	0004	tǐng	very	nc	nc				
mandarin	lzh	0004	yī	one	other	other				
mandarin	lzh	0004	kāishǐ	begin	other	other				
mandarin	lzh	0004	gěi	give/ADP	adp	adp				
mandarin	lzh	0004	rén	people	np.h:obl	np	h	obl		
mandarin	lzh	0004	gǎnjué	feel(ing)	nc	nc				
mandarin	lzh	0004	jiǎng	talk	nc	nc				
mandarin	lzh	0004	qǐlái	begin	nc	nc				
mandarin	lzh	0004	dehuà	if	nc	nc				
mandarin	lzh	0004	gǎnjué	feel(ing)	np:s	np		s		
mandarin	lzh	0004	tǐng	very	other	other				
mandarin	lzh	0004	xìngfú	happy	other:pred	other		pred		
mandarin	lzh	0004	tǐng	very	other	other				
mandarin	lzh	0004	kāixīn	happy	other	other				
mandarin	lzh	0004	=de	=MOD	=other	=other				
mandarin	lzh	0004	nà	DEM	other	other				
mandarin	lzh	0004	zhǒng	type	other	other				
mandarin	lzh	0004	dàn	but	other	other				
mandarin	lzh	0005	#	#	##	##				
mandarin	lzh	0005	dànshì	but	other	other				
mandarin	lzh	0005	ZERO	0_I	0.1:a	0	1	a		
mandarin	lzh	0005	jiǎng	talk	v:pred	v		pred		
mandarin	lzh	0005	ZERO	0_it	0:p	0		p		
mandarin	lzh	0005	dào	until	other	other				
mandarin	lzh	0005	hòulái	later	other	other				
mandarin	lzh	0005	#	#	##	##				
mandarin	lzh	0005	jiéjú	outcome	np:dt_s	np		dt_s		
mandarin	lzh	0005	dehuà	if	other	other				
mandarin	lzh	0005	ZERO	0_it	dt_0:s	dt_0		s		
mandarin	lzh	0005	shì	COP	cop	cop				
mandarin	lzh	0005	bǐjiào	comparatively	other	other				
mandarin	lzh	0005	bēicǎn	tragic	other:pred	other		pred		
mandarin	lzh	0005	=de	=MOD	=other	=other				
mandarin	lzh	0006	#	#	##	##				
mandarin	lzh	0006	ránhòu	then	other	other				
mandarin	lzh	0006	yī	one	other	other				
mandarin	lzh	0006	kāishǐ	begin	other	other				
mandarin	lzh	0006	dehuà	if	other	other				
mandarin	lzh	0006	cóngqián	a_long_time_ago	other	other				
mandarin	lzh	0006	jiù	ADV	other	other				
mandarin	lzh	0006	shì	COP	other	other				
mandarin	lzh	0006	yǒu	have	other:predex	other		predex		
mandarin	lzh	0006	yí	one	ln_deti	ln_deti				
mandarin	lzh	0006	gè	CL	ln_cl	ln_cl				
mandarin	lzh	0006	#	#	#rc	#rc				
mandarin	lzh	0006	ZERO	0_he	f0.h:a	f0	h	a	3001	new
mandarin	lzh	0006	xìng	call_by_last_name	v:pred	v		pred		
mandarin	lzh	0006	zhù	Zhu	pn_np.h:p	pn_np	h	p	3050	new
mandarin	lzh	0006	=de	=MOD	=other	=other				
mandarin	lzh	0006	%	%	%	%				
mandarin	lzh	0006	dìzhǔ	landlord	np.h:s	np	h	s	3001	
mandarin	lzh	0007	#	#	##	##				
mandarin	lzh	0007	ránhòu	then	other	other				
mandarin	lzh	0007	ZERO	0_he	0.h:s	0	h	s	3001	
mandarin	lzh	0007	yě	also	other	other				
mandarin	lzh	0007	jiù	ADV	other	other				
mandarin	lzh	0007	shì	COP	cop	cop				
mandarin	lzh	0007	súchēng	popular_name	ln_np:poss	ln_np		poss		
mandarin	lzh	0007	=de	=MOD	=ln	=ln				
mandarin	lzh	0007	zhù	Zhu	pn_np.h:pred	pn_np	h	pred	3050	
mandarin	lzh	0007	yuánwài	landlord	rn_np	rn_np				
mandarin	lzh	0008	#	#	##	##				
mandarin	lzh	0008	nà	that	ln_dem	ln_dem				
mandarin	lzh	0008	ge	CL	ln_cl	ln_cl				
mandarin	lzh	0008	shíhòu	moment	np:other	np		other		
mandarin	lzh	0008	=de	=MOD	=other	=other				
mandarin	lzh	0008	yuánwài	landlord	np.h:a	np	h	a	3002	new
mandarin	lzh	0008	yě	also	other	other				
mandarin	lzh	0008	jiù	ADV	other	other				
mandarin	lzh	0008	xiāngdāngyú	like	v:pred	v		pred		
mandarin	lzh	0008	zánmen	1PL.INCL	pro.1:p	pro	1	p		
mandarin	lzh	0008	zhè	this	ln_dem	ln_dem				
mandarin	lzh	0008	ge	CL	ln_cl	ln_cl				
mandarin	lzh	0008	shíhòu	moment	np:other	np		other		
mandarin	lzh	0008	jiù	ADV	other	other				
mandarin	lzh	0008	shi	COP	other	other				
mandarin	lzh	0008	mǒu	one_particular	ln	ln				
mandarin	lzh	0008	yí	one	ln_deti	ln_deti				
mandarin	lzh	0008	gè	CL	ln_cl	ln_cl				
mandarin	lzh	0008	dìfāng	place	np:l	np		l		
mandarin	lzh	0008	#	#	##	##				
mandarin	lzh	0008	ránhòu	then	other	other				
mandarin	lzh	0008	ZERO	0_he	0.h:s	0	h	s	3001	
mandarin	lzh	0008	shì	COP	cop	cop				
mandarin	lzh	0008	bǐjiào	comparatively	other	other				
mandarin	lzh	0008	yǒu	have	other:pred	other		pred		
mandarin	lzh	0008	qián	money	other	other			3003	new
mandarin	lzh	0008	=de	=MOD	=other	=other				
mandarin	lzh	0009	#	#	##	##				
mandarin	lzh	0009	ZERO	0_he	0.h:s	0	h	s	3001	
mandarin	lzh	0009	yí	one	ln_deti	ln_deti				
mandarin	lzh	0009	gè	CL	ln_cl	ln_cl				
mandarin	lzh	0009	fù	rich	ln_adj	ln_adj				
mandarin	lzh	0009	jiā	family	ln_np	ln_np			3004	new
mandarin	lzh	0009	dà	big	ln_adj	ln_adj				
mandarin	lzh	0009	shāng	merchant	np.h:pred	np	h	pred	3001	
mandarin	lzh	0010	#	#	##	##				
mandarin	lzh	0010	dànshì	but	other	other				
mandarin	lzh	0010	zhù	Zhu	pn_np.h:dt_a	pn_np	h	dt_a	3001	
mandarin	lzh	0010	yuánwài	landlord	rn_np	rn_np				
mandarin	lzh	0010	tā	3SG	pro.h:a	pro	h	a	3001	
mandarin	lzh	0010	yǒu	have	v:pred	v		pred		
mandarin	lzh	0010	yí	one	ln_deti	ln_deti				
mandarin	lzh	0010	gè	CL	ln_cl	ln_cl				
mandarin	lzh	0010	nǚér	daughter	np.h:p	np	h	p	3005	
mandarin	lzh	0011	#	#	##	##				
mandarin	lzh	0011	ZERO	0_she	0.h:a	0	h	a	3005	
mandarin	lzh	0011	jiào	call	v:pred	v		pred		
mandarin	lzh	0011	zhùyīngtái	Zhuyingtai	pn_np.h:p	pn_np	h	p	3090	bridging
mandarin	lzh	0011	jiù	ADV	other	other				
mandarin	lzh	0012	#	#	##	##				
mandarin	lzh	0012	zhùyīngtái	Zhuyingtai	pn_np.h:s	pn_np	h	s	3005	
mandarin	lzh	0012	zhè	this	ln_dem	ln_dem				
mandarin	lzh	0012	ge	CL	ln_cl	ln_cl				
mandarin	lzh	0012	gūniang	girl	np.h:appos	np	h	appos	3005	
mandarin	lzh	0012	hái	still	other	other				
mandarin	lzh	0012	zhǎngde	grow_up	v:pred	v		pred		
mandarin	lzh	0012	ze	MP	other	other				
mandarin	lzh	0012	fēicháng	really	other	other				
mandarin	lzh	0012	=de	=MOD	=other	=other				
mandarin	lzh	0012	měilì	beautiful	other	other				
mandarin	lzh	0012	dàfāng	generous	other	other				
mandarin	lzh	0013	#	#	##	##				
mandarin	lzh	0013	érqiě	also	other	other				
mandarin	lzh	0013	ZERO	0_she	0.h:s	0	h	s	3005	
mandarin	lzh	0013	tèbié	especially	other	other				
mandarin	lzh	0013	cōngmíng	smart	other:pred	other		pred		
mandarin	lzh	0013	#	#	##	##				
mandarin	lzh	0013	ZERO	0_she	0.h:s	0	h	s	3005	
mandarin	lzh	0013	hàoxué	well_studied	other:pred	other		pred		
mandarin	lzh	0014	#	#	##	##				
mandarin	lzh	0014	ránhòu	then	other	other				
mandarin	lzh	0014	èn	yes	other	other				
mandarin	lzh	0014	tāmen	3PL	pro.h:dt_a	pro	h	dt_a	3004	
mandarin	lzh	0014	zhù	Zhu	pn_np.h:appos	pn_np	h	appos	3004	
mandarin	lzh	0014	jiā	home	rn_np	rn_np				
mandarin	lzh	0014	dehuà	if	other	other				
mandarin	lzh	0014	ránhòu	then	other	other				
mandarin	lzh	0014	ZERO	0_they	dt_0.h:a	dt_0	h	a	3004	
mandarin	lzh	0014	yǒu	have	v:pred	v		pred		
mandarin	lzh	0014	yí	one	ln_deti	ln_deti				
mandarin	lzh	0014	ge	CL	ln_cl	ln_cl				
mandarin	lzh	0014	zúguī	ethnic_rule	np:p	np		p	3006	new
mandarin	lzh	0015	#	#	##	##				
mandarin	lzh	0015	tāmen	3PL	ln_pro.h:poss	ln_pro	h	poss	3004	
mandarin	lzh	0015	=de	=MOD	=ln	=ln				
mandarin	lzh	0015	zúguī	ethnic_rule	np:s	np		s	3006	
mandarin	lzh	0015	qíshí	actually	other	other				
mandarin	lzh	0015	shì	COP	cop	cop				
mandarin	lzh	0015	duì	ADP	adp	adp				
mandarin	lzh	0015	nǚxìng	women	np.h:obl	np	h	obl	3007	new
mandarin	lzh	0015	lái	come	rn_adp	rn_adp				
mandarin	lzh	0015	shuō	say	rn_adp	rn_adp				
mandarin	lzh	0015	shì	COP	other	other				
mandarin	lzh	0015	bǐjiào	comparatively	other	other				
mandarin	lzh	0015	qíshì	discriminating	other:pred	other		pred		
mandarin	lzh	0015	=de	=MOD	=other	=other				
mandarin	lzh	0016	#	#	##	##				
mandarin	lzh	0016	ZERO	0_it	0:s	0		s	3006	
mandarin	lzh	0016	jiù	ADV	other	other				
mandarin	lzh	0016	xiàng	ADP	adp	adp				
