ID,Source_Referent_ID,Target_Referent_ID,Relation
1,1001,1011,<
2,1001,1159,<
3,1003,1163,<
4,1004,1097,<
5,1004,1019,>
6,1004,1027,>
7,1004,1070,>
8,1004,1092,>
9,1004,1095,>
10,1004,1102,>
11,1006,1097,<
12,1006,1194,<
13,1006,1100,>
14,1006,1104,>
15,1006,1121,>
16,1009,1045,>
17,1011,1001,>
18,1011,1012,>
19,1019,1004,<
20,1027,1004,<
21,1045,1009,<
22,1070,1004,<
23,1092,1004,<
24,1095,1004,<
25,1097,1004,>
26,1097,1006,>
27,1097,1100,>
28,1100,1006,<
29,1102,1004,<
30,1102,1194,<
31,1104,1006,<
32,1104,1126,>
33,1105,1001,M
34,1121,1006,<
35,1126,1104,M
36,1159,1001,>
37,1159,1163,>
38,1159,1164,>
39,1159,1165,>
40,1163,1159,<
41,1163,1003,>
42,1164,1159,<
43,1165,1159,<
44,1194,1006,>
45,1194,1102,>
46,2001,2050,<
47,2001,2177,<
48,2001,2045,>
49,2001,2049,>
50,2001,2080,>
51,2001,2081,>
52,2001,2082,>
53,2001,2085,>
54,2001,2087,>
55,2001,2088,>
56,2001,2124,>
57,2001,2134,>
58,2011,2021,<
59,2011,2050,<
60,2011,2038,>
61,2021,2050,<
62,2021,2011,>
63,2021,2024,>
64,2024,2021,<
65,2024,2050,<
66,2024,2038,>
67,2026,2063,>
68,2026,2064,>
69,2038,2024,M
70,2045,2001,M
71,2049,2001,M
72,2050,2001,>
73,2050,2011,>
74,2050,2021,>
75,2050,2024,>
76,2060,2061,<
77,2061,2060,>
78,2063,2026,M
79,2064,2026,M
80,2068,2172,>
81,2070,2072,<
82,2072,2070,>
83,2073,2077,<
84,2073,2134,<
85,2073,2142,<
86,2073,2165,<
87,2073,2133,>
88,2074,2077,<
89,2074,2076,>
90,2074,2078,>
91,2076,2074,M
92,2077,2073,>
93,2077,2074,>
94,2078,2074,M
95,2080,2001,M
96,2080,2081,>
97,2080,2082,>
98,2081,2080,M
99,2082,2080,M
100,2085,2001,M
101,2087,2001,M
102,2088,2001,M
103,2098,2105,>
104,2105,2098,M
105,2111,2114,>
106,2114,2111,M
107,2115,2142,M
108,2115,2116,>
109,2115,2117,>
110,2115,2118,>
111,2115,2119,>
112,2115,2137,>
113,2115,2144,>
114,2116,2115,<
115,2116,2142,<
116,2117,2115,<
117,2117,2142,<
118,2118,2115,<
119,2118,2142,<
120,2118,2136,>
121,2119,2115,<
122,2119,2142,<
123,2123,2145,>
124,2123,2158,>
125,2124,2001,<
126,2133,2073,<
127,2134,2001,>
128,2134,2073,>
129,2136,2118,<
130,2137,2115,<
131,2142,2073,>
132,2142,2115,>
133,2142,2116,>
134,2142,2117,>
135,2142,2118,>
136,2142,2119,>
137,2143,2151,>
138,2144,2115,<
139,2145,2123,M
140,2151,2143,M
141,2158,2123,M
142,2164,2165,<
143,2164,2177,<
144,2164,2176,
145,2165,2073,>
146,2165,2164,>
147,2172,2068,M
148,2176,2164,M
149,2177,2001,>
150,2177,2164,>
151,2177,2178,>
152,2178,2177,<
153,3001,3004,<
154,3001,3025,<
155,3004,3001,>
156,3004,3005,>
157,3004,3048,>
158,3005,3004,<
159,3005,3015,<
160,3005,3024,<
161,3005,3012,>
162,3005,3026,>
163,3005,3031,>
164,3011,3018,>
165,3012,3004,<
166,3013,3015,<
167,3013,3024,<
168,3013,3028,<
169,3013,3021,>
170,3013,3044,>
171,3015,3005,>
172,3015,3013,>
173,3018,3011,<
174,3021,3013,M
175,3023,3024,<
176,3024,3005,>
177,3024,3013,>
178,3024,3023,>
179,3025,3001,>
180,3026,3005,M
181,3028,3013,>
182,3028,3039,>
183,3031,3005,M
184,3039,3028,M
185,3044,3013,M
186,3048,3004,<
