refind,label,description,class,notes
∅,,,,
1001,qínǚzǐ,Hua Mulan,hum,
1002,gùshì,story of Hua Mulan,abs,
1003,fù,father of Hua Mulan,hum,
1004,jūn,Han army of China,abs,
1005,zhāo,Sui dynasty,hum,
1006,tūjué,the Turks,hum,
1007,biānjiāng,border (of China),loc,
1008,gǔdài,ancient time (around the Sui dynasty),tme,
1009,ZERO,government (of China),abs,
1010,zhēngbīng,recruitment,abs,
1011,nǚér,daughter(s) (of Hua Mulan's father),hum,
1012,yī,one of the daughters = Muhui,hum,
1013,wǔyì,Wushu skills,abs,
1014,běijīng,Beijing,loc,
1015,límín,common people,hum,
1016,bǎixìng,civilian,hum,
1017,sǔnshāng,hurt,abs,
1019,yuánshuài,supreme commander,hum,
1020,ZERO,the people authorised by the supreme commander to collect officials,hum,
1021,yìmín,official,hum,
1022,guótǔ,country (China),loc,
1023,míngzì,name of Hua Mulan's father,abs,
1024,jūnshū,military documents,inm,
1025,cì,time (for enlistment),tme,
1026,zhēngbīng,enlistment,abs,
1027,jūnguān,military officers,hum,
1028,niánlíng,age (of military officers),abs,
1029,tā,"son (of the military officers, in this case)",hum,
1030,nián,age of Huahu,abs,
1031,jìngdì,condition (of Huahu not having sons),abs,
1032,shíhòu,moment,tme,
1033,jīfáng,room of Hua Mulan,loc,
1034,xīn,Hua Mulan's heart,bdp,
1035,tǐ,Huahu's body,bdp,
1036,xiàolì,effect/sake (of the country),abs,
1037,zérèn,responsibility,abs,
1038,nǚzǐ,woman (in general),hum,
1039,wǒmén,we,hum,
1040,xiǎoxué,primary school,loc,
1041,jījī,sighing,abs,
1042,hùzhi,household,loc,
1043,zhège,this (referring to the description),abs,
1044,zhuàngtài,situation (of Hua Mulan),abs,
1045,guānchà,government workmen,hum,
1046,shíhòu,moment (of enlistment),tme,
1047,bing,sickness (of Huahu),abs,
1048,ying,barracks,loc,
1049,xínglǐ,luggage (of Huahu),inm,
1050,shíhòu,moment,tme,
1051,juédìng,decision made by Hua Mulan,abs,
1053,dàjiā,everybody,hum,
1054,nǚháizǐ / nǚháiér,girl (in general),hum,
1055,jiā,home,loc,
1056,nán,man (in general),hum,
1057,nánzhuāng,dressed as boy,abs,
1058,yàoqiú,request (of Hua Mulan),abs,
1059,tóngshí,at the same time,tme,
1060,wǔyì,Hua Mulan's fighting skills,abs,
1061,qīnrén,relatives of Hua Mulan,hum,
1062,gōngjiàn,bow and arrow (that Hua Mulan bought),inm,
1063,yīqiē,everything (that Hua Mulan packed; her luggage),inm,
1064,chāotíng,royal court,loc,
1065,yuánshuài,marshal,hum,
1066,rén,persons (soldiers) assembled by the marshal,hum,
1067,mǎ,horses assembled by the marshal,anm,
1068,dāo,knife,inm,
1069,qiāng,gun,inm,
1070,dàduì,brigade,hum,
1071,qiánxiàn,front,loc,
1072,huánghé,Yellow River,loc,
1073,túzhong,en route (march),abs,
1074,gùshì,story,abs,
1075,zhànshì,warrior,hum,
1076,shìér,things (done by men),abs,
1077,shíhòu,at this moment,tme,
1078,ZERO,we,hum,
1079,zhàn,war,abs,
1080,ùnǚ,women (in the back),hum,
1081,hòufāng,military logistics (the back),abs,
1082,zérèn,responsibilities of the women,abs,
1083,yī,clothes,inm,
1084,shí,food,inm,
1085,zhēngqiáng,debate,abs,
1086,gǎnjué,feeling,abs,
1087,zhàncháng,battlefield,loc,
1088,fēnggōngweiji,great achievement,abs,
1089,gǔzǐ,ribs of Hua Mulan,bdp,
1090,tóngshí,at the same time,tme,
1091,ZERO,relationship,abs,
1092,duì,squadron,hum,
1093,ZERO,the person organizing the troops,hum,
1095,bīngmǎ,troops and horses,anm,
1097,jūn,two armies (both the Chinese and the Turkish one),hum,
1098,jì,ruse of the Turks,abs,
1099,jiéguǒ,result,abs,
1100,dàjūn,main forces of the Turks,hum,
1101,shíhòu,moment,tme,
1102,bùduì,troop led by Hua Mulan,hum,
1103,shíkè,moment,tme,
1104,wáng,Turkish king,hum,
1105,jīzhì,intelligence of Hua Mulan,abs,
1106,huímǎqiang,sudden thrust,abs,
1107,ying,camp of the Turks,loc,
1108,gong,surprising achievements of Hua Mulan,abs,
1109,shēng,promotion,abs,
1110,shang,reward,abs,
1111,shíhòu,moment,tme,
1112,yèshēn,night,tme,
1113,rén,person,hum,
1114,ying,camp of the Chinese army,loc,
1115,sùniǎo,bird (returning to its nest),anm,
1116,běi,North,loc,
1117,nán,South,loc,
1118,shíhòu,moment,tme,
1119,duānní,indication,abs,
1120,jì,plan made by Hua Mulan,abs,
1121,bīng,Turkish soldiers,hum,
1122,yíngzhài,barracks of the Turkish soldiers,loc,
1123,shíhòu,moment,tme,
1124,cì,time (repeatedly),tme,
1125,cì,this time,tme,
1126,xīn,heart of the Turkish king,bdp,
1127,jiéguǒ,result,abs,
1128,jiéguǒ,result,abs,
1129,sìxià,all sides,loc,
1130,ZERO,the attack of the Turks,abs,
1131,sǐ,dead,hum,
1132,shāng,injured,hum,
1133,shù,number,mss,
1134,nénglì,capability,abs,
1135,ren,person sent by Hua Mulan,hum,
1136,cheng,city,loc,
1137,min,people (in the city),hum,
1138,jūnjì,discipline,abs,
1139,cì,at this time,tme,
1140,shǒubì,shoulder of Hua Mulan,bdp,
1141,jiànshāng,injury on Hua Mulan's shoulder,abs,
1142,nǚér,daughter of the marshal,hum,
1143,dàjiā,everybody,hum,
1144,bànfǎ,possibility,abs,
1145,qīn,wife,hum,
1146,xiāng,village of Hua Mulan,loc,
1147,shěng,province of Hua Mulan's village,loc,
1148,shíhòu,at this time,tme,
1149,jiānglǐng,high ranking officials,hum,
1150,qīn,(the marshal's) relative,hum,
1151,jiā,home of Hua Mulan,loc,
1152,qīzǐ,(non-existent) wife of Hua Mulan,hum,
1153,shíhòu,this time,tme,
1154,huángjīn,gold,inm,
1155,yùbó,jade,inm,
1156,dàjiā,everybody,hum,
1157,shēngguān,promotion,abs,
1158,shòushǎng,price,abs,
1159,jiārén,family of Hua Mulan,hum,
1160,sheng,remaining life of Hua Mulan,tme,
1161,xiǎngfǎ,thought / plan of Hua Mulan,abs,
1162,bǎixìng,civilians (in Hua Mulan's village) she meets on her return,hum,
1163,fùmǔ,parents of Hua Mulan,hum,
1164,jiě,sisters of Hua Mulan,hum,
1165,dì,brothers of Hua Mulan,hum,
1166,ZERO,the moment of reunion,tme,
1168,fēnghán,winterwind,abs,
1169,rǎnbìng,infectious disease,abs,
1170,chuáng,bed of Hua Mulan,inm,
1171,táng,room,loc,
1173,shíhòu,at this moment,tme,
1174,wu,comprehension of the marshal,abs,
1175,zhuāng,pretending,abs,
1176,jiǔyàn,feast,abs,
1177,shì,thing,abs,
1178,jīfáng,equipment room,loc,
1179,nán,hardship,abs,
1180,xiàolì,effect / benefit,abs,
1181,mínglì,fame,abs,
1182,běnfēn,duty of a woman,abs,
1183,nánháizǐ,boy (in general),hum,
1184,dàjiā,everybody,hum,
1185,píngděng,equality,abs,
1186,quánlì,right,abs,
1187,jīnguó / xūméi,woman with manly spirit,hum,
1188,shìqíng,thing,abs,
1189,zhèlǐ,here,loc,
1190,yīngzhēng,apply,abs,
1191,ān,saddle,inm,
1192,ZERO,you,hum,
1193,ZERO,this (the reason that she had so much success),abs,
1194,xiāng,each other,hum,
1195,qìzhòng,regard highly,abs,
1196,wǎnshàng,evening,tme,
2001,jìgōng,jìgōng,hum,
2002,nián,year 829,tme,
2003,nián,800 years,tme,
2004,jìgōng,name of jìgōng,abs,
2005,rénmén,people,hum,
2006,fǎmíng,Buddhist name of Jigong,abs,
2007,jiā,home of Jigong,loc,
2008,shuōfǎ,saying about 2007,abs,
2009,shèhuì,society,abs,
2010,shēnshì,experiences of 2001,abs,
2011,diē,father of Jigong,hum,
2012,cūn,Yongning village of Yongning district,loc,
2013,bèijǐng,friends and family of 2011,hum,
2014,guān,land of Limaochun,loc,
2015,shěngcháng,province governor,hum,
2016,bīngquán,military rights of Limaochun,abs,
2017,jiātíng,household of Limaochun (and Jigong),abs,
2018,qián,money of Limaochun,mss,
2019,xián,free time of Limaochun,abs,
2020,dì,land of Limaochun after retirement,loc,
2021,liǎngkǒu,Limaochun and his wife,hum,
2022,chuáng,bed of Limaochun and his wife,inm,
2023,tiān,life of Limaochun,abs,
2024,tàitài,wife of Limaochun,hum,
2025,shén,Buddha,anm,
2026,sì,temple,loc,
2027,táng,Luohan hall,loc,
2028,xiāng,donation cabinet in Luohan hall,inm,
2029,qián,money Limaochun and his wife put in the donation cabinet,mss,
2030,xiāng,incense sticks of Limaochun and his wife,inm,
2031,tóu,Kowtow the wife of Limaochun did,abs,
2032,luóhàn,18 Luohan in the Luohan hall,inm,
2033,fóxiàng,Buddha statue of the Buddha that fights dragons,inm,
2034,héshàng,little monk walking by,hum,
2035,héshàng,old monk walking by,hum,
2036,tiān,second day,tme,
2037,yè,after one night,tme,
2038,dùzi,stomach of Limaochun's wife,bdp,
2040,qián,money Limaochun and his wife give temple after becoming pregnant,mss,
2041,guòchéng,process of the pregnancy,abs,
2042,yuè,10 months that pass during the pregnancy,tme,
2043,chǎnfáng,delivery room,loc,
2044,chǎnpóér,nurse,hum,
2045,zuǐ,mouth of Jigong,bdp,
2046,zhè,smiling of Jigong,abs,
2047,shī,song the old monk sings to Jigong,abs,
2048,láilì,origin of Jigong,abs,
2049,nǎodài,head of Jigong,bdp,
2050,ZERO,"Jigong, his mother and his father",hum,
2051,shū,books Jigong reads,inm,
2052,àihǎo,hobby Jigong has,abs,
2053,wū,room of Jigong,loc,
2054,fójīng,Buddhist scriptures,inm,
2055,mùyú,wooden fish,inm,
2056,fǎshì,religious ceremony for dead parents of Jigong,abs,
2057,yànkou,incense for religious ceremony,inm,
2058,míngzi,name of Jigong when he was small,abs,
2059,zhé,Jigong wanting to leave his home,abs,
2060,jiùjiù shushu,uncles of Jigong (mother's and father's side),hum,
2061,qīnqī,relatives of Jigong,hum,
2062,zhī,family tree,abs,
2063,sìmén,door of the temple,loc,
2064,sìyuàn,temple yard,loc,
2065,símiào,temples Jigong visits,loc,
2066,shān,famous mountains Jigong visits,loc,
2067,chuān,famous rivers and lakes Jigong visits,loc,
2068,sì,Lingyin temple,loc,
2069,hángzhōu,Hangzhou,loc,
2070,héshàng,monk in the Lingyin temple,hum,
2071,ZERO,Jigong wantint to stay in the temple for a night,abs,
2072,tamen,monks from Lingyin temple,hum,
2073,jiānsì,temple manager,hum,
2074,fāngzhàng,Fangzhang,hum,
2075,liántái,platform Fangzhang sits on,loc,
2076,yǎnjīng,eyes of the Fangzhang,bdp,
2077,zánmén,2073 + 2074,hum,
2078,bǎngzi,hand of Fangzhang,bdp,
2079,zuǐbā,slap Fangzhang gives Daoji,abs,
2080,liǎn,face of Jigong,bdp,
2081,liǎn,left face,bdp,
2082,liǎn,right face,bdp,
2083,fēnzhōng,time it took to beat Jigong,tme,
2084,ZERO,the beating,abs,
2085,yǎn,eyes of Jigong,bdp,
2086,yīfú,clothes of Jigong,inm,
2087,shǒu,hands of Jigong,bdp,
2088,zú,feet of Jigong,bdp,
2089,màozi,hat of Jigong,inm,
2090,jùhuà,speech of Fangzhang,abs,
2091,táng,court,loc,
2092,zhènggōng,presented evidence,inm,
2093,jìdiān,crazy name for Jigong,abs,
2094,jiǔ,alcohol Jigong sometimes drinks,mss,
2095,ròu,meat Jigong sometimes eats,mss,
2096,yisī,meaning of the saying of the Fangzhang,abs,
2097,shìér,what happened afterwards,abs,
2098,jiāshā,cape of Guangliang,inm,
2099,yuánwàng,wish of Guangliang,abs,
2100,tiān,the day Fangzhang dies,tme,
2101,nián,New Year,tme,
2102,fó,Buddha statue,inm,
2103,yúnjǐn,cloud pattern brocade,inm,
2104,nánjīng,Nanjing,loc,
2105,kuàiér,the part of the cape,inm,
2106,jīnxiàn,silver thread,inm,
2107,fěicuì,jade,inm,
